keV	cps	count
35.885	   0.181	      23
35.905	   0.126	      16
35.925	   0.102	      13
35.945	   0.110	      14
35.965	   0.110	      14
35.985	   0.063	       8
36.005	   0.110	      14
36.025	   0.157	      20
36.045	   0.110	      14
36.065	   0.094	      12
36.085	   0.094	      12
36.105	   0.087	      11
36.125	   0.094	      12
36.145	   0.079	      10
36.165	   0.071	       9
36.185	   0.165	      21
36.205	   0.094	      12
36.225	   0.071	       9
36.245	   0.118	      15
36.265	   0.150	      19
36.285	   0.110	      14
36.305	   0.079	      10
36.325	   0.087	      11
36.345	   0.102	      13
36.365	   0.087	      11
36.385	   0.047	       6
36.405	   0.110	      14
36.425	   0.118	      15
36.445	   0.110	      14
36.465	   0.047	       6
36.485	   0.063	       8
36.505	   0.079	      10
36.525	   0.157	      20
36.545	   0.079	      10
36.565	   0.118	      15
36.585	   0.094	      12
36.605	   0.102	      13
36.625	   0.079	      10
36.645	   0.063	       8
36.665	   0.118	      15
36.685	   0.126	      16
36.705	   0.118	      15
36.725	   0.126	      16
36.745	   0.094	      12
36.765	   0.126	      16
36.785	   0.087	      11
36.805	   0.126	      16
36.825	   0.118	      15
36.845	   0.071	       9
36.865	   0.094	      12
36.885	   0.079	      10
36.905	   0.047	       6
36.925	   0.118	      15
36.945	   0.039	       5
36.965	   0.094	      12
36.985	   0.071	       9
37.005	   0.087	      11
37.025	   0.126	      16
37.045	   0.110	      14
37.065	   0.079	      10
37.085	   0.087	      11
37.105	   0.102	      13
37.125	   0.063	       8
37.145	   0.102	      13
37.165	   0.087	      11
37.185	   0.110	      14
37.205	   0.055	       7
37.225	   0.063	       8
37.245	   0.110	      14
37.265	   0.063	       8
37.285	   0.110	      14
37.305	   0.079	      10
37.325	   0.055	       7
37.345	   0.039	       5
37.365	   0.071	       9
37.385	   0.071	       9
37.405	   0.094	      12
37.425	   0.165	      21
37.445	   0.063	       8
37.465	   0.094	      12
37.485	   0.102	      13
37.505	   0.094	      12
37.525	   0.055	       7
37.545	   0.134	      17
37.565	   0.079	      10
37.585	   0.079	      10
37.605	   0.102	      13
37.625	   0.071	       9
37.645	   0.039	       5
37.665	   0.071	       9
37.685	   0.118	      15
37.705	   0.087	      11
37.725	   0.102	      13
37.745	   0.094	      12
37.765	   0.102	      13
37.785	   0.079	      10
37.805	   0.094	      12
37.825	   0.024	       3
37.845	   0.039	       5
37.865	   0.039	       5
37.885	   0.118	      15
37.905	   0.079	      10
37.925	   0.087	      11
37.945	   0.079	      10
37.965	   0.047	       6
37.985	   0.087	      11
38.005	   0.071	       9
38.025	   0.094	      12
38.045	   0.094	      12
38.065	   0.024	       3
38.085	   0.071	       9
38.105	   0.157	      20
38.125	   0.063	       8
38.146	   0.047	       6
38.166	   0.055	       7
38.186	   0.094	      12
38.206	   0.102	      13
38.226	   0.063	       8
38.246	   0.087	      11
38.266	   0.071	       9
38.286	   0.063	       8
38.306	   0.110	      14
38.326	   0.031	       4
38.346	   0.071	       9
38.366	   0.102	      13
38.386	   0.063	       8
38.406	   0.079	      10
38.426	   0.079	      10
38.446	   0.087	      11
38.466	   0.079	      10
38.486	   0.063	       8
38.506	   0.055	       7
38.526	   0.063	       8
38.546	   0.055	       7
38.566	   0.071	       9
38.586	   0.063	       8
38.606	   0.071	       9
38.626	   0.087	      11
38.646	   0.055	       7
38.666	   0.079	      10
38.686	   0.063	       8
38.706	   0.079	      10
38.726	   0.047	       6
38.746	   0.087	      11
38.766	   0.118	      15
38.786	   0.110	      14
38.806	   0.094	      12
38.826	   0.118	      15
38.846	   0.055	       7
38.866	   0.079	      10
38.886	   0.087	      11
38.906	   0.142	      18
38.926	   0.094	      12
38.946	   0.031	       4
38.966	   0.031	       4
38.986	   0.047	       6
39.006	   0.063	       8
39.026	   0.063	       8
39.046	   0.039	       5
39.066	   0.087	      11
39.086	   0.055	       7
39.106	   0.016	       2
39.126	   0.055	       7
39.146	   0.047	       6
39.166	   0.079	      10
39.186	   0.047	       6
39.206	   0.087	      11
39.226	   0.087	      11
39.246	   0.024	       3
39.266	   0.094	      12
39.286	   0.047	       6
39.306	   0.039	       5
39.326	   0.047	       6
39.346	   0.047	       6
39.366	   0.094	      12
39.386	   0.055	       7
39.406	   0.055	       7
39.426	   0.134	      17
39.446	   0.047	       6
39.466	   0.087	      11
39.486	   0.063	       8
39.506	   0.047	       6
39.526	   0.071	       9
39.546	   0.055	       7
39.566	   0.063	       8
39.586	   0.047	       6
39.606	   0.094	      12
39.626	   0.102	      13
39.646	   0.016	       2
39.666	   0.063	       8
39.686	   0.087	      11
39.706	   0.039	       5
39.726	   0.055	       7
39.746	   0.039	       5
39.766	   0.047	       6
39.786	   0.071	       9
39.806	   0.055	       7
39.826	   0.063	       8
39.846	   0.008	       1
39.866	   0.063	       8
39.886	   0.071	       9
39.906	   0.063	       8
39.926	   0.071	       9
39.946	   0.071	       9
39.966	   0.071	       9
39.986	   0.063	       8
40.006	   0.055	       7
40.026	   0.039	       5
40.046	   0.047	       6
40.066	   0.039	       5
40.086	   0.039	       5
40.106	   0.039	       5
40.126	   0.055	       7
40.146	   0.031	       4
40.166	   0.031	       4
40.186	   0.079	      10
40.206	   0.047	       6
40.226	   0.031	       4
40.246	   0.024	       3
40.266	   0.063	       8
40.286	   0.031	       4
40.306	   0.039	       5
40.326	   0.055	       7
40.346	   0.039	       5
40.366	   0.039	       5
40.386	   0.047	       6
40.406	   0.008	       1
40.426	   0.039	       5
40.446	   0.063	       8
40.466	   0.055	       7
40.487	   0.031	       4
40.507	   0.031	       4
40.527	   0.024	       3
40.547	   0.031	       4
40.567	   0.031	       4
40.587	   0.047	       6
40.607	   0.024	       3
40.627	   0.039	       5
40.647	   0.055	       7
40.667	   0.039	       5
40.687	   0.047	       6
40.707	   0.039	       5
40.727	   0.047	       6
40.747	   0.039	       5
40.767	   0.031	       4
40.787	   0.031	       4
40.807	   0.031	       4
40.827	   0.039	       5
40.847	   0.024	       3
40.867	   0.047	       6
40.887	   0.047	       6
40.907	   0.063	       8
40.927	   0.047	       6
40.947	   0.024	       3
