keV	cps	count
 6.472	  23.071	    2916
 6.492	  19.764	    2498
 6.512	  17.422	    2202
 6.532	  15.104	    1909
 6.552	  11.836	    1496
 6.572	   9.930	    1255
 6.592	   6.836	     864
 6.612	   5.633	     712
 6.632	   4.146	     524
 6.652	   3.007	     380
 6.672	   2.571	     325
 6.692	   1.923	     243
 6.712	   1.480	     187
 6.732	   1.282	     162
 6.752	   1.408	     178
 6.772	   1.337	     169
 6.792	   1.305	     165
 6.812	   1.693	     214
 6.832	   1.812	     229
 6.852	   2.271	     287
 6.872	   2.975	     376
 6.892	   3.331	     421
 6.912	   4.193	     530
 6.932	   4.977	     629
 6.952	   5.507	     696
 6.972	   6.401	     809
 6.992	   6.978	     882
 7.012	   7.453	     942
 7.032	   7.999	    1011
 7.052	   7.936	    1003
 7.072	   8.118	    1026
 7.092	   7.659	     968
 7.112	   6.963	     880
 7.132	   6.472	     818
 7.152	   5.570	     704
 7.172	   5.024	     635
 7.192	   4.534	     573
 7.212	   3.386	     428
 7.232	   2.880	     364
 7.252	   2.548	     322
 7.272	   2.160	     273
 7.292	   1.582	     200
 7.312	   1.519	     192
 7.332	   1.171	     148
 7.352	   0.997	     126
 7.372	   1.036	     131
 7.392	   0.870	     110
 7.412	   1.013	     128
 7.432	   0.973	     123
 7.452	   1.060	     134
 7.472	   1.036	     131
 7.492	   1.313	     166
 7.512	   1.100	     139
 7.532	   1.361	     172
 7.552	   1.274	     161
 7.572	   1.749	     221
 7.592	   1.907	     241
 7.612	   2.532	     320
 7.632	   3.307	     418
 7.652	   4.375	     553
 7.672	   6.290	     795
 7.692	   9.328	    1179
 7.713	  13.830	    1748
 7.733	  19.416	    2454
 7.753	  29.583	    3739
 7.773	  42.630	    5388
 7.793	  60.187	    7607
 7.813	  83.274	   10525
 7.833	 112.398	   14206
 7.853	 150.186	   18982
 7.873	 192.887	   24379
 7.893	 241.870	   30570
 7.913	 294.454	   37216
 7.933	 348.168	   44005
 7.953	 399.399	   50480
 7.973	 449.284	   56785
 7.993	 486.811	   61528
 8.013	 518.356	   65515
 8.033	 531.387	   67162
 8.053	 535.193	   67643
 8.073	 520.840	   65829
 8.093	 492.491	   62246
 8.113	 451.515	   57067
 8.133	 403.378	   50983
 8.153	 350.447	   44293
 8.173	 296.811	   37514
 8.193	 244.165	   30860
 8.213	 194.707	   24609
 8.233	 151.112	   19099
 8.253	 115.792	   14635
 8.273	  85.236	   10773
 8.293	  61.215	    7737
 8.313	  42.092	    5320
 8.333	  30.113	    3806
 8.353	  19.646	    2483
 8.373	  14.250	    1801
 8.393	   9.218	    1165
 8.413	   6.440	     814
 8.433	   5.024	     635
 8.453	   3.386	     428
 8.473	   3.181	     402
 8.493	   3.196	     404
 8.513	   2.777	     351
 8.533	   2.967	     375
 8.553	   3.734	     472
 8.573	   4.407	     557
 8.593	   5.562	     703
 8.613	   6.844	     865
 8.633	   8.980	    1135
 8.653	  11.219	    1418
 8.673	  15.191	    1920
 8.693	  19.163	    2422
 8.713	  24.654	    3116
 8.733	  30.596	    3867
 8.753	  37.487	    4738
 8.773	  45.834	    5793
 8.793	  52.235	    6602
 8.813	  61.967	    7832
 8.833	  67.213	    8495
 8.853	  74.072	    9362
 8.873	  77.213	    9759
 8.893	  81.969	   10360
 8.913	  80.987	   10236
 8.933	  78.677	    9944
 8.953	  74.112	    9367
 8.973	  69.444	    8777
 8.993	  62.418	    7889
 9.013	  53.912	    6814
 9.033	  46.182	    5837
 9.053	  39.584	    5003
 9.073	  31.743	    4012
 9.093	  24.622	    3112
 9.113	  19.408	    2453
 9.133	  14.297	    1807
 9.153	  10.381	    1312
 9.173	   7.224	     913
 9.193	   5.016	     634
 9.213	   3.157	     399
 9.233	   2.445	     309
 9.253	   1.677	     212
 9.273	   0.973	     123
 9.293	   0.704	      89
 9.313	   0.475	      60
 9.333	   0.356	      45
 9.353	   0.277	      35
 9.373	   0.222	      28
 9.393	   0.182	      23
 9.413	   0.198	      25
 9.433	   0.182	      23
 9.453	   0.182	      23
 9.473	   0.142	      18
 9.493	   0.119	      15
 9.513	   0.079	      10
 9.533	   0.095	      12
