keV	cps	count
 6.612	  79.552	    9913
 6.632	  57.564	    7173
 6.652	  41.530	    5175
 6.672	  28.746	    3582
 6.692	  19.413	    2419
 6.712	  14.405	    1795
 6.732	  10.400	    1296
 6.752	   9.758	    1216
 6.772	   9.285	    1157
 6.792	  10.681	    1331
 6.812	  12.960	    1615
 6.832	  14.999	    1869
 6.852	  19.910	    2481
 6.872	  24.709	    3079
 6.892	  30.487	    3799
 6.912	  37.653	    4692
 6.932	  44.940	    5600
 6.952	  51.160	    6375
 6.972	  58.543	    7295
 6.992	  64.144	    7993
 7.012	  69.256	    8630
 7.032	  72.643	    9052
 7.052	  73.036	    9101
 7.072	  71.784	    8945
 7.092	  69.978	    8720
 7.112	  65.107	    8113
 7.132	  58.639	    7307
 7.152	  50.927	    6346
 7.172	  43.423	    5411
 7.192	  35.880	    4471
 7.212	  29.388	    3662
 7.232	  23.497	    2928
 7.252	  16.508	    2057
 7.272	  13.129	    1636
 7.292	   9.758	    1216
 7.312	   6.789	     846
 7.332	   5.008	     624
 7.352	   3.603	     449
 7.372	   2.327	     290
 7.392	   1.766	     220
 7.412	   1.509	     188
 7.432	   1.212	     151
 7.452	   1.091	     136
 7.472	   0.891	     111
 7.492	   0.971	     121
 7.512	   1.051	     131
 7.532	   0.722	      90
 7.552	   0.827	     103
 7.572	   0.698	      87
 7.592	   0.634	      79
 7.612	   0.586	      73
 7.632	   0.457	      57
 7.652	   0.498	      62
 7.672	   0.417	      52
 7.692	   0.449	      56
 7.713	   0.329	      41
 7.733	   0.433	      54
 7.753	   0.233	      29
 7.773	   0.217	      27
 7.793	   0.305	      38
 7.813	   0.401	      50
 7.833	   0.393	      49
 7.853	   0.409	      51
 7.873	   0.634	      79
 7.893	   0.578	      72
 7.913	   0.730	      91
 7.933	   0.722	      90
 7.953	   0.851	     106
 7.973	   1.019	     127
 7.993	   1.075	     134
 8.013	   1.244	     155
 8.033	   1.172	     146
 8.053	   1.268	     158
 8.073	   1.244	     155
 8.093	   1.172	     146
 8.113	   0.987	     123
 8.133	   0.963	     120
 8.153	   0.827	     103
 8.173	   0.730	      91
 8.193	   0.666	      83
 8.213	   0.634	      79
 8.233	   0.482	      60
 8.253	   0.538	      67
 8.273	   0.457	      57
 8.293	   0.361	      45
 8.313	   0.345	      43
 8.333	   0.369	      46
 8.353	   0.305	      38
 8.373	   0.217	      27
 8.393	   0.144	      18
 8.413	   0.185	      23
 8.433	   0.144	      18
 8.453	   0.217	      27
 8.473	   0.169	      21
 8.493	   0.056	       7
 8.513	   0.096	      12
 8.533	   0.136	      17
 8.553	   0.112	      14
 8.573	   0.144	      18
 8.593	   0.152	      19
 8.613	   0.120	      15
 8.633	   0.185	      23
 8.653	   0.120	      15
 8.673	   0.185	      23
 8.693	   0.169	      21
 8.713	   0.177	      22
 8.733	   0.241	      30
 8.753	   0.273	      34
 8.773	   0.233	      29
 8.793	   0.185	      23
 8.813	   0.265	      33
 8.833	   0.265	      33
 8.853	   0.241	      30
 8.873	   0.289	      36
 8.893	   0.305	      38
 8.913	   0.329	      41
 8.933	   0.313	      39
 8.953	   0.209	      26
 8.973	   0.201	      25
 8.993	   0.257	      32
 9.013	   0.193	      24
 9.033	   0.193	      24
 9.053	   0.185	      23
 9.073	   0.209	      26
 9.093	   0.201	      25
 9.113	   0.136	      17
 9.133	   0.136	      17
 9.153	   0.136	      17
 9.173	   0.120	      15
 9.193	   0.152	      19
 9.213	   0.152	      19
 9.233	   0.080	      10
 9.253	   0.152	      19
 9.273	   0.144	      18
 9.293	   0.104	      13
 9.313	   0.136	      17
 9.333	   0.088	      11
 9.353	   0.088	      11
 9.373	   0.072	       9
 9.393	   0.088	      11
 9.413	   0.080	      10
 9.433	   0.096	      12
 9.453	   0.128	      16
 9.473	   0.080	      10
 9.493	   0.080	      10
 9.513	   0.056	       7
 9.533	   0.072	       9
 9.553	   0.064	       8
 9.573	   0.072	       9
 9.593	   0.064	       8
 9.613	   0.056	       7
 9.633	   0.064	       8
 9.653	   0.072	       9
 9.673	   0.088	      11
 9.693	   0.080	      10
 9.713	   0.088	      11
 9.733	   0.040	       5
 9.753	   0.032	       4
 9.773	   0.056	       7
 9.793	   0.088	      11
 9.813	   0.080	      10
 9.833	   0.040	       5
 9.853	   0.056	       7
 9.873	   0.056	       7
 9.893	   0.104	      13
 9.913	   0.112	      14
 9.933	   0.096	      12
 9.953	   0.056	       7
 9.973	   0.088	      11
 9.993	   0.104	      13
10.013	   0.080	      10
10.033	   0.144	      18
10.054	   0.136	      17
10.074	   0.088	      11
10.094	   0.064	       8
10.114	   0.096	      12
10.134	   0.040	       5
10.154	   0.048	       6
10.174	   0.056	       7
10.194	   0.096	      12
10.214	   0.072	       9
10.234	   0.064	       8
10.254	   0.048	       6
10.274	   0.096	      12
10.294	   0.056	       7
10.314	   0.096	      12
10.334	   0.080	      10
10.354	   0.128	      16
10.374	   0.120	      15
10.394	   0.064	       8
10.414	   0.136	      17
10.434	   0.128	      16
10.454	   0.104	      13
10.474	   0.161	      20
10.494	   0.104	      13
10.514	   0.136	      17
10.534	   0.152	      19
10.554	   0.161	      20
10.574	   0.161	      20
10.594	   0.217	      27
10.614	   0.096	      12
10.634	   0.152	      19
10.654	   0.177	      22
10.674	   0.169	      21
10.694	   0.136	      17
10.714	   0.201	      25
10.734	   0.201	      25
10.754	   0.257	      32
10.774	   0.128	      16
10.794	   0.193	      24
10.814	   0.209	      26
10.834	   0.169	      21
10.854	   0.169	      21
10.874	   0.177	      22
10.894	   0.321	      40
10.914	   0.120	      15
10.934	   0.193	      24
10.954	   0.209	      26
10.974	   0.161	      20
10.994	   0.080	      10
11.014	   0.104	      13
11.034	   0.128	      16
11.054	   0.104	      13
11.074	   0.072	       9
11.094	   0.120	      15
11.114	   0.096	      12
11.134	   0.088	      11
11.154	   0.088	      11
11.174	   0.096	      12
11.194	   0.096	      12
11.214	   0.032	       4
11.234	   0.096	      12
11.254	   0.040	       5
11.274	   0.112	      14
11.294	   0.120	      15
11.314	   0.112	      14
11.334	   0.072	       9
11.354	   0.120	      15
11.374	   0.177	      22
11.394	   0.088	      11
11.414	   0.104	      13
11.434	   0.104	      13
11.454	   0.088	      11
11.474	   0.120	      15
11.494	   0.096	      12
11.514	   0.128	      16
11.534	   0.120	      15
11.554	   0.152	      19
11.574	   0.209	      26
11.594	   0.289	      36
11.614	   0.305	      38
11.634	   0.401	      50
11.654	   0.425	      53
11.674	   0.457	      57
11.694	   0.570	      71
11.714	   0.770	      96
11.734	   0.811	     101
11.754	   0.754	      94
11.774	   1.003	     125
11.794	   0.987	     123
11.814	   0.899	     112
11.834	   0.955	     119
11.854	   0.971	     121
11.874	   0.827	     103
11.894	   0.883	     110
11.914	   0.762	      95
11.934	   0.666	      83
11.954	   0.714	      89
11.974	   0.538	      67
11.994	   0.417	      52
12.014	   0.313	      39
12.034	   0.361	      45
12.054	   0.313	      39
12.074	   0.177	      22
12.094	   0.225	      28
12.114	   0.193	      24
12.134	   0.120	      15
12.154	   0.128	      16
12.174	   0.120	      15
12.194	   0.112	      14
12.214	   0.185	      23
12.234	   0.136	      17
12.254	   0.257	      32
12.274	   0.209	      26
12.294	   0.209	      26
12.314	   0.329	      41
12.334	   0.273	      34
12.354	   0.321	      40
12.374	   0.369	      46
12.395	   0.273	      34
12.415	   0.297	      37
12.435	   0.305	      38
12.455	   0.305	      38
12.475	   0.249	      31
12.495	   0.329	      41
12.515	   0.482	      60
12.535	   0.457	      57
12.555	   0.441	      55
12.575	   0.498	      62
12.595	   0.554	      69
12.615	   0.746	      93
12.635	   0.875	     109
12.655	   0.987	     123
12.675	   0.827	     103
12.695	   1.260	     157
12.715	   1.340	     167
12.735	   1.356	     169
12.755	   1.629	     203
12.775	   1.806	     225
12.795	   1.685	     210
12.815	   1.782	     222
12.835	   1.854	     231
12.855	   1.501	     187
12.875	   1.461	     182
12.895	   1.589	     198
12.915	   1.300	     162
12.935	   1.019	     127
12.955	   1.043	     130
12.975	   0.939	     117
12.995	   0.738	      92
13.015	   0.586	      73
13.035	   0.465	      58
13.055	   0.369	      46
13.075	   0.225	      28
13.095	   0.217	      27
13.115	   0.217	      27
13.135	   0.185	      23
13.155	   0.177	      22
13.175	   0.120	      15
13.195	   0.185	      23
13.215	   0.169	      21
13.235	   0.169	      21
13.255	   0.281	      35
13.275	   0.257	      32
13.295	   0.281	      35
13.315	   0.393	      49
13.335	   0.337	      42
13.355	   0.417	      52
13.375	   0.546	      68
13.395	   0.401	      50
13.415	   0.522	      65
13.435	   0.714	      89
13.455	   0.650	      81
13.475	   0.778	      97
13.495	   0.602	      75
13.515	   0.401	      50
13.535	   0.610	      76
13.555	   0.457	      57
13.575	   0.409	      51
13.595	   0.385	      48
13.615	   0.401	      50
13.635	   0.225	      28
13.655	   0.193	      24
13.675	   0.193	      24
13.695	   0.112	      14
13.715	   0.161	      20
13.735	   0.120	      15
13.755	   0.064	       8
13.775	   0.072	       9
13.795	   0.080	      10
13.815	   0.096	      12
13.835	   0.072	       9
13.855	   0.056	       7
13.875	   0.064	       8
13.895	   0.072	       9
13.915	   0.088	      11
13.935	   0.056	       7
13.955	   0.080	      10
13.975	   0.048	       6
13.995	   0.120	      15
14.015	   0.104	      13
14.035	   0.072	       9
14.055	   0.064	       8
14.075	   0.128	      16
14.095	   0.120	      15
14.115	   0.072	       9
14.135	   0.112	      14
14.155	   0.072	       9
14.175	   0.080	      10
14.195	   0.104	      13
14.215	   0.120	      15
14.235	   0.080	      10
14.255	   0.024	       3
14.275	   0.056	       7
14.295	   0.080	      10
14.315	   0.064	       8
14.335	   0.040	       5
14.355	   0.040	       5
14.375	   0.080	      10
14.395	   0.032	       4
14.415	   0.056	       7
14.435	   0.056	       7
14.455	   0.040	       5
14.475	   0.072	       9
14.495	   0.048	       6
14.515	   0.056	       7
14.535	   0.064	       8
14.555	   0.072	       9
14.575	   0.064	       8
14.595	   0.104	      13
14.615	   0.064	       8
14.635	   0.072	       9
14.655	   0.064	       8
14.675	   0.048	       6
14.695	   0.056	       7
14.715	   0.032	       4
14.736	   0.056	       7
14.756	   0.008	       1
14.776	   0.040	       5
14.796	   0.064	       8
14.816	   0.072	       9
14.836	   0.072	       9
14.856	   0.072	       9
14.876	   0.056	       7
14.896	   0.032	       4
14.916	   0.064	       8
14.936	   0.064	       8
14.956	   0.040	       5
14.976	   0.048	       6
14.996	   0.072	       9
15.016	   0.048	       6
15.036	   0.048	       6
15.056	   0.048	       6
15.076	   0.040	       5
15.096	   0.032	       4
15.116	   0.048	       6
15.136	   0.072	       9
15.156	   0.080	      10
15.176	   0.072	       9
15.196	   0.064	       8
15.216	   0.088	      11
15.236	   0.064	       8
15.256	   0.048	       6
15.276	   0.096	      12
15.296	   0.096	      12
15.316	   0.040	       5
15.336	   0.064	       8
15.356	   0.032	       4
15.376	   0.040	       5
15.396	   0.128	      16
15.416	   0.040	       5
15.436	   0.048	       6
15.456	   0.048	       6
15.476	   0.088	      11
15.496	   0.024	       3
15.516	   0.056	       7
15.536	   0.120	      15
15.556	   0.112	      14
15.576	   0.080	      10
15.596	   0.056	       7
15.616	   0.096	      12
15.636	   0.080	      10
15.656	   0.056	       7
15.676	   0.072	       9
15.696	   0.096	      12
15.716	   0.088	      11
15.736	   0.024	       3
15.756	   0.032	       4
15.776	   0.088	      11
15.796	   0.096	      12
15.816	   0.104	      13
15.836	   0.096	      12
15.856	   0.072	       9
15.876	   0.128	      16
15.896	   0.088	      11
15.916	   0.120	      15
15.936	   0.080	      10
15.956	   0.096	      12
15.976	   0.048	       6
15.996	   0.072	       9
16.016	   0.080	      10
16.036	   0.088	      11
16.056	   0.072	       9
16.076	   0.112	      14
16.096	   0.104	      13
16.116	   0.144	      18
16.136	   0.128	      16
16.156	   0.080	      10
16.176	   0.144	      18
16.196	   0.120	      15
16.216	   0.056	       7
16.236	   0.112	      14
16.256	   0.112	      14
16.276	   0.104	      13
16.296	   0.104	      13
16.316	   0.136	      17
16.336	   0.104	      13
16.356	   0.152	      19
16.376	   0.136	      17
16.396	   0.144	      18
16.416	   0.104	      13
16.436	   0.185	      23
16.456	   0.136	      17
16.476	   0.096	      12
16.496	   0.177	      22
16.516	   0.185	      23
16.536	   0.217	      27
16.556	   0.136	      17
16.576	   0.112	      14
16.596	   0.169	      21
16.616	   0.136	      17
16.636	   0.177	      22
16.656	   0.112	      14
16.676	   0.112	      14
16.696	   0.185	      23
16.716	   0.209	      26
16.736	   0.161	      20
16.756	   0.161	      20
16.776	   0.249	      31
16.796	   0.233	      29
16.816	   0.217	      27
16.836	   0.096	      12
16.856	   0.169	      21
16.876	   0.128	      16
16.896	   0.169	      21
16.916	   0.281	      35
16.936	   0.169	      21
16.956	   0.144	      18
16.976	   0.209	      26
16.996	   0.209	      26
17.016	   0.193	      24
17.036	   0.329	      41
17.056	   0.393	      49
17.077	   0.401	      50
17.097	   0.409	      51
