spgr=1
2  P4/NBMS

spgr=126
1  P4/NNCZ
2  P4/NNCS

spgr=127
1  P4/MBM

spgr=128
1  P4/MNC

spgr=129
1  P4/NMMZ
2  P4/NMMS
0  P4/NMMS1

spgr=130
1  P4/NCCZ
2  P4/NCCS

spgr=131
1  P42/MMC
0  P42/MMCS

spgr=132
1  P42/MCM

spgr=133
1  P42/NBCZ
2  P42/NBCS

spgr=134
1  P42/NNMZ
2  P42/NNMS

spgr=135
1  P42/MBC

spgr=136
1  P42/MNM

spgr=137
1  P42/NMCZ
2  P42/NMCS

spgr=138
1  P42/NCMZ
2  P42/NCMS

spgr=139
1  I4/MMM

spgr=140
1  I4/MCM

spgr=141
1  I41/AMDZ
2  I41/AMDS
0  F41/DDM

spgr=142
1  I41/ACDZ
2  I41/ACDS

spgr=143
1  P3

spgr=144
1  P31

spgr=145
1  P32

spgr=146
1  R3H
2  R3R

spgr=147
1  P3-

spgr=148
1  R3-H
2  R3-R
0  R3-HR

spgr=149
1  P312

spgr=150
1  P321

spgr=151
1  P3112

spgr=152
1  P3121
0  P3121S

spgr=153
1  P3212

spgr=154
1  P3221
0  P3221S

spgr=155
1  R32H
2  R32R
0  R32HR

spgr=156
1  P3M1

spgr=157
1  P31M

spgr=158
1  P3C1

spgr=159
1  P31C

spgr=160
1  R3MH
2  R3MR
0  R3MHR

spgr=161
1  R3CH
2  R3CR
0  R3CHR

spgr=162
1  P3-M

spgr=163
1  P3-1C
0  P3-1CS

spgr=164
1  P3-M1

spgr=165
1  P3-C1

spgr=166
1  R3-MH
2  R3-MR
0  R3-MHR

spgr=167
1  R3-CH
2  R3-CR
0  R3-CRS
0  R3-CHR

spgr=168
1  P6

spgr=169
1  P61

spgr=170
1  P65

spgr=171
1  P62

spgr=172
1  P64

spgr=173
1  P63

spgr=174
1  P6-

spgr=175
1  P6/M

spgr=176
1  P63/M

spgr=177
1  P622

spgr=178
1  P6122

spgr=179
1  P6522

spgr=180
1  P6222

spgr=181
1  P6422

spgr=182
1  P6322

spgr=183
1  P6MM

spgr=184
1  P6CC

spgr=185
1  P63CM

spgr=186
1  P63MC

spgr=187
1  P6-M2

spgr=188
1  P6-C2

spgr=189
1  P6-2M

spgr=190
1  P6-2C

spgr=191
1  P6/MMM

spgr=192
1  P6/MCC

spgr=193
1  P63/MCM

spgr=194
1  P63/MMC

spgr=195
1  P23

spgr=196
1  F23

spgr=197
1  I23

spgr=198
1  P213

spgr=199
1  I213

spgr=200
1  PM3-

spgr=201
1  PN3-Z
2  PN3-S

spgr=202
1  FM3-

spgr=203
1  FD3-Z
2  FD3-S

spgr=204
1  IM3-

spgr=205
1  PA3-

spgr=206
1  IA3-

spgr=207
1  P432

spgr=208
1  P4232

spgr=209
1  F432

spgr=210
1  F4132

spgr=211
1  I432

spgr=212
1  P4332

spgr=213
1  P4132

spgr=214
1  I4132

spgr=215
1  P4-3M

spgr=216
1  F4-3M

spgr=217
1  I4-3M

spgr=218
1  P4-3N

spgr=219
1  F4-3C

spgr=220
1  I4-3D
0  I4-3

spgr=221
1  PM3-M

spgr=222
1  PN3-NZ
2  PN3-NS

spgr=223
1  PM3-N

spgr=224
1  PN3-MZ
2  PN3-MS

spgr=225
1  FM3-M

spgr=226
1  FM3-C

spgr=227
1  FD3-MZ
2  FD3-MS

spgr=228
1  FD3-CZ

spgr=229
1  IM3-M

spgr=230
1  IA3-D
